Source;Target
CHINA;Assistencia Virtual e Educacao
SWITZERLAND;Mercado Risco e Previsao
USA;IA: Arquiteturas e Metodos
CHINA;Assistencia Virtual e Educacao
ENGLAND;Mercado Risco e Previsao
ARABIA;IoT e Sensores
TURKIYE;IA: Arquiteturas e Metodos
CHINA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
USA;IA: Arquiteturas e Metodos
CHINA;Visao Computacional e Fenotipagem
INDIA;Recursos Hidricos
USA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
GERMANY;Visao Computacional e Fenotipagem
CHINA;IA: Arquiteturas e Metodos
Nao Informado;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
CHINA;Robotica e Mecanizacao
CHINA;Visao Computacional e Fenotipagem
CHINA;Assistencia Virtual e Educacao
USA;IA: Arquiteturas e Metodos
ROMANIA;Mercado Risco e Previsao
USA;Governanca, Gestao e Impacto Social
CHINA;Robotica e Mecanizacao
CHINA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
AUSTRALIA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
CHINA;Diagnostico e Protecao Fitossanitaria
LANKA;Assistencia Virtual e Educacao
USA;IA: Arquiteturas e Metodos
INDIA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
TURKIYE;Robotica e Mecanizacao
PORTUGAL;Assistencia Virtual e Educacao
ENGLAND;Diagnostico e Protecao Fitossanitaria
USA;Mercado Risco e Previsao
CHINA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
FRANCE;Diagnostico e Protecao Fitossanitaria
AUSTRALIA;Assistencia Virtual e Educacao
MEXICO;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
EMIRATES;Agricultura de Precisao e Cultivo
USA;Mercado Risco e Previsao
USA;Mercado Risco e Previsao
USA;Assistencia Virtual e Educacao
CANADA;Governanca, Gestao e Impacto Social
CHINA;Assistencia Virtual e Educacao
CANADA;Assistencia Virtual e Educacao
ITALY;Assistencia Virtual e Educacao
THAILAND;Assistencia Virtual e Educacao
CHINA;Visao Computacional e Fenotipagem
CHINA;IA: Arquiteturas e Metodos
ENGLAND;Diagnostico e Protecao Fitossanitaria
CHINA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
ITALY;Assistencia Virtual e Educacao
USA;Mercado Risco e Previsao
DENMARK;Assistencia Virtual e Educacao
TURKIYE;IA: Arquiteturas e Metodos
CHINA;Visao Computacional e Fenotipagem
EMIRATES;Robotica e Mecanizacao
UKRAINE;Mercado Risco e Previsao
USA;Assistencia Virtual e Educacao
INDIA;IA: Arquiteturas e Metodos
