Ano;"Agricultura de Precisao e Cultivo";"Assistencia Virtual e Educacao";"Cadeia Produtiva e Qualidade";"Clima, Solo e Meio Ambiente";"Diagnostico e Protecao Fitossanitaria";"Governanca, Gestao e Impacto Social";"IA: Arquiteturas e Metodos";"IoT e Sensores";"Mercado Risco e Previsao";"Recursos Hidricos";"Robotica e Mecanizacao";"Visao Computacional e Fenotipagem"
2000;1;0;0;0;3;0;4;0;0;0;0;0
2001;1;2;1;0;2;1;3;0;3;1;1;0
2002;0;1;0;0;2;0;1;2;0;0;0;1
2003;0;1;0;2;5;0;5;0;3;1;1;0
2004;0;2;0;2;3;2;0;1;6;1;0;1
2005;0;3;0;1;2;1;0;1;3;3;1;0
2006;0;2;1;1;4;0;1;0;3;0;0;1
2007;1;2;1;3;4;0;4;1;4;2;0;1
2008;0;0;0;1;5;3;5;1;2;2;1;0
2009;1;3;1;2;11;1;4;0;1;2;2;1
2010;1;2;1;4;4;1;4;0;3;2;2;2
2011;1;3;1;2;3;1;1;0;3;4;1;1
2012;0;4;1;1;9;0;6;2;10;1;2;2
2013;0;4;0;3;12;3;2;1;6;2;0;1
2014;2;7;1;2;4;2;5;0;8;2;3;0
2015;0;5;1;7;12;1;8;0;11;2;1;2
2016;1;7;0;4;13;1;9;1;11;5;7;2
2017;0;19;1;9;3;5;4;5;19;4;11;4
2018;5;42;4;4;19;6;7;1;21;7;5;7
2019;3;103;4;9;35;9;13;5;26;11;16;11
2020;1;189;16;22;44;15;15;9;48;12;33;11
2021;0;319;29;22;61;12;17;9;59;11;44;28
2022;5;460;41;31;86;28;26;11;70;12;54;36
2023;7;616;36;47;114;27;31;10;64;15;53;47
2024;7;967;67;52;211;52;63;17;115;5;79;86
2025;12;1560;129;93;338;129;96;25;216;17;117;133
2026;5;538;46;30;133;36;9;11;98;6;37;55
